Harga Pangan di Tingkat Produsen Provinsi,,,,,
,,,,,
Kode Provinsi,Nama Provinsi,Komoditas,Tahun,Bulan,Harga
61,Kalimantan Barat,Kedelai Biji Kering Tingkat Petani,2023,Januari,-
62,Kalimantan Tengah,Kedelai Biji Kering Tingkat Petani,2023,Januari,-
63,Kalimantan Selatan,Kedelai Biji Kering Tingkat Petani,2023,Januari,-
71,Sulawesi Utara,Kedelai Biji Kering Tingkat Petani,2023,Januari,-
72,Sulawesi Tengah,Kedelai Biji Kering Tingkat Petani,2023,Januari,-
73,Sulawesi Selatan,Kedelai Biji Kering Tingkat Petani,2023,Januari,-
74,Sulawesi Tenggara,Kedelai Biji Kering Tingkat Petani,2023,Januari,-
75,Gorontalo,Kedelai Biji Kering Tingkat Petani,2023,Januari,-
76,Sulawesi Barat,Kedelai Biji Kering Tingkat Petani,2023,Januari,-
11,Aceh,Bawang Merah Tingkat Petani,2023,Januari,-
12,Sumatera Utara,Bawang Merah Tingkat Petani,2023,Januari,Rp21.245
13,Sumatera Barat,Bawang Merah Tingkat Petani,2023,Januari,Rp22.208
14,Riau,Bawang Merah Tingkat Petani,2023,Januari,-
15,Jambi,Bawang Merah Tingkat Petani,2023,Januari,Rp18.500
16,Sumatera Selatan,Bawang Merah Tingkat Petani,2023,Januari,Rp28.000
17,Bengkulu,Bawang Merah Tingkat Petani,2023,Januari,-
18,Lampung,Bawang Merah Tingkat Petani,2023,Januari,-
32,Jawa Barat,Bawang Merah Tingkat Petani,2023,Januari,Rp20.773
33,Jawa Tengah,Bawang Merah Tingkat Petani,2023,Januari,Rp23.805
34,D.I Yogyakarta,Bawang Merah Tingkat Petani,2023,Januari,Rp20.500
35,Jawa Timur,Bawang Merah Tingkat Petani,2023,Januari,Rp24.307
36,Banten,Bawang Merah Tingkat Petani,2023,Januari,Rp25.447
51,Bali,Bawang Merah Tingkat Petani,2023,Januari,Rp23.017
52,Nusa Tenggara Barat,Bawang Merah Tingkat Petani,2023,Januari,Rp26.994
53,Nusa Tenggara Timur,Bawang Merah Tingkat Petani,2023,Januari,Rp26.000
61,Kalimantan Barat,Bawang Merah Tingkat Petani,2023,Januari,-
62,Kalimantan Tengah,Bawang Merah Tingkat Petani,2023,Januari,-
63,Kalimantan Selatan,Bawang Merah Tingkat Petani,2023,Januari,-
71,Sulawesi Utara,Bawang Merah Tingkat Petani,2023,Januari,-
72,Sulawesi Tengah,Bawang Merah Tingkat Petani,2023,Januari,-
73,Sulawesi Selatan,Bawang Merah Tingkat Petani,2023,Januari,Rp25.268
74,Sulawesi Tenggara,Bawang Merah Tingkat Petani,2023,Januari,-
75,Gorontalo,Bawang Merah Tingkat Petani,2023,Januari,-
76,Sulawesi Barat,Bawang Merah Tingkat Petani,2023,Januari,-
11,Aceh,Cabai Merah Keriting Tingkat Petani,2023,Januari,Rp25.015
12,Sumatera Utara,Cabai Merah Keriting Tingkat Petani,2023,Januari,Rp26.169
13,Sumatera Barat,Cabai Merah Keriting Tingkat Petani,2023,Januari,Rp33.960
14,Riau,Cabai Merah Keriting Tingkat Petani,2023,Januari,-
15,Jambi,Cabai Merah Keriting Tingkat Petani,2023,Januari,Rp29.845
16,Sumatera Selatan,Cabai Merah Keriting Tingkat Petani,2023,Januari,Rp27.761
17,Bengkulu,Cabai Merah Keriting Tingkat Petani,2023,Januari,Rp31.389
18,Lampung,Cabai Merah Keriting Tingkat Petani,2023,Januari,Rp30.153
32,Jawa Barat,Cabai Merah Keriting Tingkat Petani,2023,Januari,Rp23.704
33,Jawa Tengah,Cabai Merah Keriting Tingkat Petani,2023,Januari,Rp27.213
34,D.I Yogyakarta,Cabai Merah Keriting Tingkat Petani,2023,Januari,Rp24.675
35,Jawa Timur,Cabai Merah Keriting Tingkat Petani,2023,Januari,Rp24.990
36,Banten,Cabai Merah Keriting Tingkat Petani,2023,Januari,Rp23.342
51,Bali,Cabai Merah Keriting Tingkat Petani,2023,Januari,-
52,Nusa Tenggara Barat,Cabai Merah Keriting Tingkat Petani,2023,Januari,-
53,Nusa Tenggara Timur,Cabai Merah Keriting Tingkat Petani,2023,Januari,Rp37.273
61,Kalimantan Barat,Cabai Merah Keriting Tingkat Petani,2023,Januari,-
62,Kalimantan Tengah,Cabai Merah Keriting Tingkat Petani,2023,Januari,-
63,Kalimantan Selatan,Cabai Merah Keriting Tingkat Petani,2023,Januari,-
71,Sulawesi Utara,Cabai Merah Keriting Tingkat Petani,2023,Januari,-
72,Sulawesi Tengah,Cabai Merah Keriting Tingkat Petani,2023,Januari,-
73,Sulawesi Selatan,Cabai Merah Keriting Tingkat Petani,2023,Januari,-
74,Sulawesi Tenggara,Cabai Merah Keriting Tingkat Petani,2023,Januari,-
75,Gorontalo,Cabai Merah Keriting Tingkat Petani,2023,Januari,-
76,Sulawesi Barat,Cabai Merah Keriting Tingkat Petani,2023,Januari,-
11,Aceh,Cabai Rawit Merah Tingkat Petani,2023,Januari,Rp27.000
12,Sumatera Utara,Cabai Rawit Merah Tingkat Petani,2023,Januari,Rp45.000
13,Sumatera Barat,Cabai Rawit Merah Tingkat Petani,2023,Januari,-
14,Riau,Cabai Rawit Merah Tingkat Petani,2023,Januari,-
15,Jambi,Cabai Rawit Merah Tingkat Petani,2023,Januari,Rp30.000
16,Sumatera Selatan,Cabai Rawit Merah Tingkat Petani,2023,Januari,-
17,Bengkulu,Cabai Rawit Merah Tingkat Petani,2023,Januari,-
18,Lampung,Cabai Rawit Merah Tingkat Petani,2023,Januari,Rp51.417
32,Jawa Barat,Cabai Rawit Merah Tingkat Petani,2023,Januari,Rp39.334
33,Jawa Tengah,Cabai Rawit Merah Tingkat Petani,2023,Januari,Rp40.678
34,D.I Yogyakarta,Cabai Rawit Merah Tingkat Petani,2023,Januari,Rp41.043
35,Jawa Timur,Cabai Rawit Merah Tingkat Petani,2023,Januari,Rp40.951
36,Banten,Cabai Rawit Merah Tingkat Petani,2023,Januari,Rp53.400
51,Bali,Cabai Rawit Merah Tingkat Petani,2023,Januari,Rp44.562
52,Nusa Tenggara Barat,Cabai Rawit Merah Tingkat Petani,2023,Januari,Rp50.250
53,Nusa Tenggara Timur,Cabai Rawit Merah Tingkat Petani,2023,Januari,Rp36.667
61,Kalimantan Barat,Cabai Rawit Merah Tingkat Petani,2023,Januari,Rp35.000
62,Kalimantan Tengah,Cabai Rawit Merah Tingkat Petani,2023,Januari,-
63,Kalimantan Selatan,Cabai Rawit Merah Tingkat Petani,2023,Januari,Rp39.167
71,Sulawesi Utara,Cabai Rawit Merah Tingkat Petani,2023,Januari,Rp34.433
72,Sulawesi Tengah,Cabai Rawit Merah Tingkat Petani,2023,Januari,Rp30.816
73,Sulawesi Selatan,Cabai Rawit Merah Tingkat Petani,2023,Januari,Rp27.195
74,Sulawesi Tenggara,Cabai Rawit Merah Tingkat Petani,2023,Januari,-
75,Gorontalo,Cabai Rawit Merah Tingkat Petani,2023,Januari,Rp100.000
76,Sulawesi Barat,Cabai Rawit Merah Tingkat Petani,2023,Januari,-
11,Aceh,Sapi Hidup (Tingkat Peternak/RPH),2023,Januari,Rp52.707
12,Sumatera Utara,Sapi Hidup (Tingkat Peternak/RPH),2023,Januari,Rp53.628
13,Sumatera Barat,Sapi Hidup (Tingkat Peternak/RPH),2023,Januari,Rp55.039
14,Riau,Sapi Hidup (Tingkat Peternak/RPH),2023,Januari,-
15,Jambi,Sapi Hidup (Tingkat Peternak/RPH),2023,Januari,Rp51.884
16,Sumatera Selatan,Sapi Hidup (Tingkat Peternak/RPH),2023,Januari,Rp48.806
17,Bengkulu,Sapi Hidup (Tingkat Peternak/RPH),2023,Januari,-
18,Lampung,Sapi Hidup (Tingkat Peternak/RPH),2023,Januari,Rp52.146
32,Jawa Barat,Sapi Hidup (Tingkat Peternak/RPH),2023,Januari,Rp53.091
33,Jawa Tengah,Sapi Hidup (Tingkat Peternak/RPH),2023,Januari,Rp49.688
34,D.I Yogyakarta,Sapi Hidup (Tingkat Peternak/RPH),2023,Januari,Rp48.750
35,Jawa Timur,Sapi Hidup (Tingkat Peternak/RPH),2023,Januari,Rp49.296
36,Banten,Sapi Hidup (Tingkat Peternak/RPH),2023,Januari,Rp55.243
51,Bali,Sapi Hidup (Tingkat Peternak/RPH),2023,Januari,Rp41.120
52,Nusa Tenggara Barat,Sapi Hidup (Tingkat Peternak/RPH),2023,Januari,Rp50.374
53,Nusa Tenggara Timur,Sapi Hidup (Tingkat Peternak/RPH),2023,Januari,Rp49.830
61,Kalimantan Barat,Sapi Hidup (Tingkat Peternak/RPH),2023,Januari,-
62,Kalimantan Tengah,Sapi Hidup (Tingkat Peternak/RPH),2023,Januari,-
63,Kalimantan Selatan,Sapi Hidup (Tingkat Peternak/RPH),2023,Januari,Rp66.000
71,Sulawesi Utara,Sapi Hidup (Tingkat Peternak/RPH),2023,Januari,-
72,Sulawesi Tengah,Sapi Hidup (Tingkat Peternak/RPH),2023,Januari,-
73,Sulawesi Selatan,Sapi Hidup (Tingkat Peternak/RPH),2023,Januari,Rp54.296
74,Sulawesi Tenggara,Sapi Hidup (Tingkat Peternak/RPH),2023,Januari,-
75,Gorontalo,Sapi Hidup (Tingkat Peternak/RPH),2023,Januari,Rp40.000
76,Sulawesi Barat,Sapi Hidup (Tingkat Peternak/RPH),2023,Januari,-
11,Aceh,Ayam Ras Pedaging,2023,Januari,-
12,Sumatera Utara,Ayam Ras Pedaging,2023,Januari,Rp22.470
13,Sumatera Barat,Ayam Ras Pedaging,2023,Januari,Rp24.200
14,Riau,Ayam Ras Pedaging,2023,Januari,Rp20.711
15,Jambi,Ayam Ras Pedaging,2023,Januari,Rp26.967
16,Sumatera Selatan,Ayam Ras Pedaging,2023,Januari,Rp18.194
17,Bengkulu,Ayam Ras Pedaging,2023,Januari,-
18,Lampung,Ayam Ras Pedaging,2023,Januari,Rp22.241
32,Jawa Barat,Ayam Ras Pedaging,2023,Januari,Rp21.553
33,Jawa Tengah,Ayam Ras Pedaging,2023,Januari,Rp18.647
34,D.I Yogyakarta,Ayam Ras Pedaging,2023,Januari,-
35,Jawa Timur,Ayam Ras Pedaging,2023,Januari,Rp20.617
36,Banten,Ayam Ras Pedaging,2023,Januari,Rp22.330
51,Bali,Ayam Ras Pedaging,2023,Januari,Rp21.110
52,Nusa Tenggara Barat,Ayam Ras Pedaging,2023,Januari,Rp25.000
53,Nusa Tenggara Timur,Ayam Ras Pedaging,2023,Januari,Rp25.500
61,Kalimantan Barat,Ayam Ras Pedaging,2023,Januari,-
62,Kalimantan Tengah,Ayam Ras Pedaging,2023,Januari,-
63,Kalimantan Selatan,Ayam Ras Pedaging,2023,Januari,Rp29.000
71,Sulawesi Utara,Ayam Ras Pedaging,2023,Januari,-
72,Sulawesi Tengah,Ayam Ras Pedaging,2023,Januari,-
73,Sulawesi Selatan,Ayam Ras Pedaging,2023,Januari,Rp21.629
74,Sulawesi Tenggara,Ayam Ras Pedaging,2023,Januari,-
75,Gorontalo,Ayam Ras Pedaging,2023,Januari,-
76,Sulawesi Barat,Ayam Ras Pedaging,2023,Januari,-
11,Aceh,Telur Ayam Ras,2023,Januari,-
12,Sumatera Utara,Telur Ayam Ras,2023,Januari,Rp23.671
13,Sumatera Barat,Telur Ayam Ras,2023,Januari,Rp24.684
14,Riau,Telur Ayam Ras,2023,Januari,-
15,Jambi,Telur Ayam Ras,2023,Januari,Rp24.000
16,Sumatera Selatan,Telur Ayam Ras,2023,Januari,Rp23.482
17,Bengkulu,Telur Ayam Ras,2023,Januari,-
18,Lampung,Telur Ayam Ras,2023,Januari,Rp25.093
32,Jawa Barat,Telur Ayam Ras,2023,Januari,Rp24.675
33,Jawa Tengah,Telur Ayam Ras,2023,Januari,Rp24.620
34,D.I Yogyakarta,Telur Ayam Ras,2023,Januari,Rp24.275
35,Jawa Timur,Telur Ayam Ras,2023,Januari,Rp24.113
36,Banten,Telur Ayam Ras,2023,Januari,Rp23.416
51,Bali,Telur Ayam Ras,2023,Januari,Rp23.980
